2026-05-06 23:38:06,545 | INFO | conftest | Launching Chrome browser
2026-05-06 23:38:09,190 | INFO | conftest | Performing login fixture setup
2026-05-06 23:38:12,048 | INFO | LoginPage | Attempting login with email: raghu1@gmail.com
2026-05-06 23:38:12,049 | INFO | LoginPage | Typing 'raghu1@gmail.com' into element: ('id', 'email')
2026-05-06 23:38:12,152 | INFO | LoginPage | Typing 'raghu1' into element: ('id', 'password')
2026-05-06 23:38:12,245 | INFO | LoginPage | Clicking element: ('xpath', "//button[text()='Login']")
2026-05-06 23:38:12,323 | INFO | LoginPage | Login button clicked
2026-05-06 23:38:12,323 | INFO | conftest | Login fixture completed
2026-05-06 23:38:12,325 | INFO | AuthAPI | POST Request -> https://practice.expandtesting.com/notes/api/users/login
2026-05-06 23:38:12,325 | INFO | AuthAPI | Payload -> {'email': 'raghu1@gmail.com', 'password': 'raghu1'}
2026-05-06 23:38:13,224 | INFO | AuthAPI | Response Status -> 200
2026-05-06 23:38:13,228 | INFO | test_ui_to_api_validation | STARTING E2E TEST: UI -> API
2026-05-06 23:38:13,229 | INFO | test_ui_to_api_validation | Creating note from UI | Title: E2E-0703b8b0-13d0-4503-8580-a1aed1cc2d38
2026-05-06 23:38:13,229 | INFO | NotesPage | Creating note | Title: E2E-0703b8b0-13d0-4503-8580-a1aed1cc2d38
2026-05-06 23:38:13,229 | INFO | NotesPage | Clicking element: ('xpath', "//button[text()='+ Add Note']")
2026-05-06 23:38:13,459 | INFO | NotesPage | Typing 'E2E-0703b8b0-13d0-4503-8580-a1aed1cc2d38' into element: ('id', 'title')
2026-05-06 23:38:13,565 | INFO | NotesPage | Typing 'Hybrid UI API Validation' into element: ('id', 'description')
2026-05-06 23:38:13,739 | INFO | NotesPage | Clicking element: ('xpath', "//button[contains(text(),'Create')]")
2026-05-06 23:38:13,793 | INFO | NotesPage | Note created successfully | Title: E2E-0703b8b0-13d0-4503-8580-a1aed1cc2d38
2026-05-06 23:38:13,794 | INFO | NotesPage | Checking if note exists: E2E-0703b8b0-13d0-4503-8580-a1aed1cc2d38
2026-05-06 23:38:14,062 | WARNING | NotesPage | Note NOT found: E2E-0703b8b0-13d0-4503-8580-a1aed1cc2d38
2026-05-06 23:38:14,562 | INFO | NotesPage | Checking if note exists: E2E-0703b8b0-13d0-4503-8580-a1aed1cc2d38
2026-05-06 23:38:16,411 | INFO | NotesPage | Note found: E2E-0703b8b0-13d0-4503-8580-a1aed1cc2d38
2026-05-06 23:38:16,412 | INFO | test_ui_to_api_validation | Note creation completed
2026-05-06 23:38:16,412 | INFO | NotesPage | Checking if note exists: E2E-0703b8b0-13d0-4503-8580-a1aed1cc2d38
2026-05-06 23:38:16,430 | INFO | NotesPage | Note found: E2E-0703b8b0-13d0-4503-8580-a1aed1cc2d38
2026-05-06 23:38:16,430 | INFO | test_ui_to_api_validation | Note visible in UI successfully
2026-05-06 23:38:16,430 | INFO | test_ui_to_api_validation | Calling GET /notes API
2026-05-06 23:38:16,430 | INFO | NotesAPI | GET Request -> https://practice.expandtesting.com/notes/api/notes
2026-05-06 23:38:17,485 | INFO | NotesAPI | Response Status -> 200
2026-05-06 23:38:17,485 | INFO | test_ui_to_api_validation | API Response Status: 200
2026-05-06 23:38:17,487 | INFO | test_ui_to_api_validation | API Response Time: 1.052702
2026-05-06 23:38:17,489 | INFO | test_ui_to_api_validation | Total Notes Returned: 25
2026-05-06 23:38:17,490 | INFO | test_ui_to_api_validation | Matched Note: {'id': '69fb839081124e02985b9ec7', 'title': 'E2E-0703b8b0-13d0-4503-8580-a1aed1cc2d38', 'description': 'Hybrid UI API Validation', 'category': 'Home', 'completed': False, 'created_at': '2026-05-06T18:08:16.032Z', 'updated_at': '2026-05-06T18:08:16.032Z', 'user_id': '69fb505d81124e02985b5b90'}
2026-05-06 23:38:17,491 | INFO | test_ui_to_api_validation | E2E UI -> API validation PASSED
2026-05-06 23:38:17,498 | INFO | conftest | Closing browser
