2026-05-06 23:39:34,106 | INFO | conftest | Launching Chrome browser
2026-05-06 23:39:36,768 | INFO | conftest | Performing login fixture setup
2026-05-06 23:39:39,046 | INFO | LoginPage | Attempting login with email: raghu1@gmail.com
2026-05-06 23:39:39,046 | INFO | LoginPage | Typing 'raghu1@gmail.com' into element: ('id', 'email')
2026-05-06 23:39:39,143 | INFO | LoginPage | Typing 'raghu1' into element: ('id', 'password')
2026-05-06 23:39:39,193 | INFO | LoginPage | Clicking element: ('xpath', "//button[text()='Login']")
2026-05-06 23:39:39,266 | INFO | LoginPage | Login button clicked
2026-05-06 23:39:39,267 | INFO | conftest | Login fixture completed
2026-05-06 23:39:39,269 | INFO | NotesPage | Clicking element: ('xpath', "//button[text()='+ Add Note']")
2026-05-06 23:39:40,427 | INFO | NotesPage | Typing 'Negative-5927aee3-e841-491d-8727-616d0616c2b9' into element: ('id', 'title')
2026-05-06 23:39:40,740 | INFO | NotesPage | Clicking element: ('xpath', "//button[contains(text(),'Create')]")
2026-05-06 23:39:40,830 | INFO | conftest | Closing browser
